등록일,제목,링크
2023-03-27,제4기 과기정통부 LMO SAFETY 기자단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=3&mode=view&idx=2452
2023-03-24,2023 광주민주포럼 자원봉사자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=3&mode=view&idx=2451
2023-03-24,전라남도 으뜸인재 발굴대회 참가자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=3&mode=view&idx=2450
2023-03-23,[지역고용정책연구원] 2023 청년도전지원사업,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=3&mode=view&idx=2449
2023-03-22,청년과 정책이 만나는 청년참여플랫품 「청년DB」,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=3&mode=view&idx=2448
2023-03-22,황당규제 공모전 지원 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=3&mode=view&idx=2447
2023-03-22,2023년 광사구장애인복지관 자원봉사자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=3&mode=view&idx=2446
2023-03-17,2023년 1학기 대학생 교육기부 「함성소리」 동아리 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2444
2023-03-17,2023순천만국제정원박람회 개막식 대국민 참여단 공개모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2443
2023-03-17,국립광주박물관 대학생 서포터즈 13기 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2442
2023-03-16,국가교육위원회 소속 국민참여위원회 위원 공개모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2440
2023-03-15,국립중앙도서관 청년 디지털 봉사단 '잇(IT)다' 2기 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2433
2023-03-15,2023 대한민국 청년정책 공모전 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2432
2023-03-14,2023 대학생 절주서포터즈 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2431
2023-03-13,2023년도 광주전남지역 대학생 개도국 국제개발협력사업 현장방문 프로그램 참여자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2430
2023-03-13,2023 전라남도청소년미래재단 '꿈 실은 푸른 날개' 대학생 멘토 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2429
2023-03-13,2023 디지털기반 커뮤니케이션 '광플릭스' 참가자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2428
2023-03-13,흥미진진 과학체험 콘텐츠 공모전 참가 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2427
2023-03-08,KT AICE 제 2회 정기시험,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2426
2023-03-08,국민연금공단 탐방단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2425
2023-03-07,2023년 정원전문가 양성교육 교육생 모집(3차) 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2424
2023-03-07,2023년 국립중앙청소년디딤센터 단기과정(힐링캠프) 2차 멘토(자원봉사단) 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=4&mode=view&idx=2422
2023-03-06,「2023년 대한민국 청년정책 공모전」,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2420
2023-03-06,2023년도 광주전남지역 대학생 개도국 국제개발협력사업 현장 방문 프로그램 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2419
2023-03-06,2023년 청년 도박문제 예방활동단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2418
2023-03-03,[SGI서울보증] 메타버스 회사/채용설명회 및 채용상담회,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2416
2023-03-03,"대한민국 해병대 제402기 부사관 후보생(남,여) 모집 안내",https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2415
2023-03-02,[국민취업지원제도 일경험 프로그램] 한국전력공사 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2414
2023-03-02,[녹색에너지연구원] 지역산업맞춤형 일자리창출 지원사업「에너지산업 실무 인재양성」 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2413
2023-03-02,2023 마두청소년수련관 기획봉사 동아리활동 참여 청소년 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2411
2023-03-02,2023전남 일생활균형 홍보기자단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2410
